"param_set"	"accuracy.x"	"recall.x"	"precision.x"	"specificity.x"	"f1.x"	"balanced_accuracy.x"	"dir_indir_ratio.x"	"accuracy.y"	"recall.y"	"precision.y"	"specificity.y"	"f1.y"	"balanced_accuracy.y"	"dir_indir_ratio.y"
"l100n1000f100u0.01"	0.99959595959596	0	NA	1	0.5	0.5	NA	0.960123402747379	0.105263157894737	0.00210526315789474	0.97983236182615	0.542547759860443	0.542547759860443	0.35
"l100n1000f100u0.1"	0.999583840906015	0	0	0.99999393694422	0.49999696847211	0.49999696847211	NA	0.960500744762934	0.427083333333333	0.00854166666666667	0.979962442737807	0.70352288803557	0.70352288803557	0.365853658536585
"l100n1000f100u1"	0.997291855526175	0.941666666666667	0.220616946505271	0.998655348962544	0.970161007814605	0.970161007814605	0.134513274336283	0.961170704864753	0.998263888888889	0.0199652777777778	0.980193316042396	0.989228602465643	0.989228602465643	0.499130434782609
"l100n1000f100u10"	0.996885665184803	1	0.205761316872428	0.998439773645918	0.999219886822959	0.999219886822959	0.13	0.961172741679873	1	0.02	0.980194017784964	0.990097008892482	0.990097008892482	0.5
"l100n1000f100u100"	0.995376370309606	1	0.148478099480327	0.997681891673403	0.998840945836702	0.998840945836702	0.1	0.961172741679873	1	0.02	0.980194017784964	0.990097008892482	0.990097008892482	0.5
"l100n1000f10u0.01"	0.99959595959596	0	NA	1	0.5	0.5	NA	0.960069329846968	0.0591397849462366	0.00118279569892473	0.979813718587286	0.519476751766761	0.519476751766761	0.636363636363636
"l100n1000f10u0.1"	0.999571722362961	0	0	0.99998787388844	0.49999393694422	0.49999393694422	NA	0.960109502473163	0.0934065934065934	0.00186813186813187	0.979827569358693	0.536617081382643	0.536617081382643	0.176470588235294
"l100n1000f10u1"	0.997244684399682	0.651666666666667	0.16745182012848	0.998690379951496	0.825178523309081	0.825178523309081	0.00767263427109974	0.961066657675295	0.909574468085106	0.0181914893617021	0.980157467448701	0.944865967766903	0.944865967766903	0.389863547758285
"l100n1000f10u10"	0.996873531316122	0.92	0.19348054679285	0.998449878738884	0.959224939369442	0.959224939369442	0.00543478260869565	0.961172741679873	1	0.02	0.980194017784964	0.990097008892482	0.990097008892482	0.5
"l100n1000f10u100"	0.99523964037317	1	0.144822592324403	0.997613177041229	0.998806588520614	0.998806588520614	0.01	0.961172741679873	1	0.02	0.980194017784964	0.990097008892482	0.990097008892482	0.5
"l100n1000f2u0.01"	0.998209641901817	0	0	0.999305939667277	0.499652969833638	0.499652969833638	NA	0.960045589261001	0.0388888888888889	0.000777777777777778	0.979805533099793	0.509347210994341	0.509347210994341	0.428571428571429
"l100n1000f2u0.1"	0.993165118925526	0.00581395348837209	0.000727272727272727	0.996771070293847	0.501292511891109	0.501292511891109	0	0.960023924218422	0.0204081632653061	0.000408163265306122	0.979798063121773	0.500103113193539	0.500103113193539	0
"l100n1000f2u1"	0.995920663663458	0.025	0.00544069640914037	0.998152789005659	0.511576394502829	0.511576394502829	0	0.960712650982709	0.607773851590106	0.0121554770318021	0.980035478517215	0.793904665053661	0.793904665053661	0.0261627906976744
"l100n1000f2u10"	0.996523554506672	0.0325	0.0084251458198315	0.998453920776071	0.515476960388036	0.515476960388036	0	0.961031587221047	0.879679144385027	0.0175935828877005	0.98014538364769	0.929912264016358	0.929912264016358	0.027355623100304
"l100n1000f2u100"	0.994836613689221	0.05	0.00836120401337793	0.997603071948262	0.523801535974131	0.523801535974131	0	0.961172741679873	1	0.02	0.980194017784964	0.990097008892482	0.990097008892482	0.0388888888888889
"l100n2000f100u0.01"	0.99959595959596	0	NA	1	0.5	0.5	NA	0.960092551095918	0.0789473684210526	0.00157894736842105	0.979821724886185	0.529384546653619	0.529384546653619	0.6
"l100n2000f100u0.1"	0.999543447256037	0.01	0.125	0.999971705739693	0.504985852869846	0.504985852869846	0	0.960561822788153	0.479166666666667	0.00958333333333333	0.979983495014821	0.729575080840744	0.729575080840744	0.25
"l100n2000f100u1"	0.99650707391478	0.933333333333333	0.178457616316125	0.99826327135543	0.965798302344382	0.965798302344382	0.194642857142857	0.961172741679873	1	0.02	0.980194017784964	0.990097008892482	0.990097008892482	0.5
"l100n2000f100u10"	0.996239407580669	1	0.176600441501104	0.998115400161681	0.999057700080841	0.999057700080841	0.18	0.961172741679873	1	0.02	0.980194017784964	0.990097008892482	0.990097008892482	0.5
"l100n2000f100u100"	0.995605636074099	1	0.155038759689922	0.997797089733226	0.998898544866613	0.998898544866613	0.135	0.961172741679873	1	0.02	0.980194017784964	0.990097008892482	0.990097008892482	0.5
"l100n2000f10u0.01"	0.999542374663223	0	0	0.99997319056968	0.49998659528484	0.49998659528484	NA	0.960098721374762	0.0842105263157895	0.00168421052631579	0.979823852274178	0.532017189294984	0.532017189294984	0.3125
"l100n2000f10u0.1"	0.999531328280298	0	0	0.999967663702506	0.499983831851253	0.499983831851253	NA	0.96010877198713	0.0927835051546392	0.00185567010309278	0.979827317504105	0.536305411329372	0.536305411329372	0.111111111111111
"l100n2000f10u1"	0.996610919280582	0.678333333333333	0.143765453903214	0.998367016976556	0.838350175154945	0.838350175154945	0.00982800982800983	0.961092752500923	0.931818181818182	0.0186363636363636	0.980166458440509	0.955992320129345	0.955992320129345	0.395872420262664
"l100n2000f10u10"	0.996302767731742	0.9475	0.172116257947321	0.998157841552142	0.972828920776071	0.972828920776071	0.0105540897097625	0.961172741679873	1	0.02	0.980194017784964	0.990097008892482	0.990097008892482	0.5
"l100n2000f10u100"	0.995802766303592	1	0.16116035455278	0.997896119644301	0.99894805982215	0.99894805982215	0.005	0.961172741679873	1	0.02	0.980194017784964	0.990097008892482	0.990097008892482	0.5
